id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
N;Norte;FIO;TOCANTINS;NORTE;TOUHET;ESTREITO;218.0;267.0;2025-01-01;155.4199981689453;131.41000366210938;87.08999633789062;2438.320068359375;2262.0;0.0;;2262.0;;4055.68994140625;;1441.5899658203125;4.645999908447266;10.006500244140625;1384.989990234375
N;Norte;RCU;TOCANTINS;NORTE;TOTUCU;TUCURUI;219.0;275.0;2025-01-01;62.470001220703125;5.409999847412109;31.739999771118164;6710.9599609375;4962.0;0.0;;4962.0;;8770.0400390625;;5142.08984375;7.451000213623047;28.24650001525879;4820.27978515625
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;SUDESTE;AMSAPI;SALTO APIACAS;;225.0;2025-01-01;247.61000061035156;221.75999450683594;104.5;188.92999267578125;187.0;0.0;;187.0;;188.94000244140625;;188.94000244140625;0.012000000104308128;;188.94000244140625
SE;Sudeste/Centro-Oeste;RES;SANTA MARIA VIT;SUDESTE;ODRBON;RIO BONITO;;;2025-01-01;647.0;490.8599853515625;59.4900016784668;14.979999542236328;19.0;0.0;0.0;19.0;;7.510000228881836;;7.510000228881836;-0.009999999776482582;;14.970000267028809
SE;Sudeste/Centro-Oeste;CED;TIETE;;TICPBA;CANAL P. BARRETO;;0.0;2025-01-01;;;;-723.0;;;;;;;;;;;
SE;Sudeste/Centro-Oeste;FIC;PARANA;PARANA;PNTIRM;ILHA + T. IRMÃOS;;44.0;2025-01-01;71.88999938964844;;71.88999938964844;5077.6201171875;3301.0;0.0;0.0;3301.0;;11183.349609375;;638.0560302734375;;;439.3789978027344
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMSAPI;SALTO APIACAS;;225.0;2025-01-01;247.61000061035156;221.75999450683594;104.5;188.92999267578125;187.0;0.0;;187.0;;188.94000244140625;;188.94000244140625;0.012000000104308128;;188.94000244140625
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMUGUA;GUAPORE;4.0;196.0;2025-01-01;479.2300109863281;304.1499938964844;106.33999633789062;33.43000030517578;28.0;0.0;3.0;31.0;0.0;33.56999969482422;;33.56999969482422;0.03500000014901161;0.03999999910593033;33.5099983215332
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMUHJI;JIRAU;5.0;285.0;2025-01-01;88.30000305175781;72.97000122070312;69.41999816894531;19115.0;11126.0;7847.0;142.0;19115.0;0.0;18457.16015625;;18457.16015625;-8.071000099182129;63.11940002441406;19170.05078125
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMUSSN;SANTO ANTONIO;6.0;287.0;2025-01-01;71.27999877929688;53.02000045776367;98.4000015258789;19286.0;9683.0;8996.0;607.0;19286.0;0.0;19551.2890625;;704.8400268554688;-9.680000305175781;63.11940002441406;57.189998626708984
